Adresse,besparelse,årligt forbrug,last,best,mean,bkps,meter,bkps_value,total kwh,%
"Karen Blixens Vej 4, 7100 Vejle",12419.593333333334,21450.48533333333,2.451293881644935,1.0240857142857143,2.050251182033097,"[740, 1855, 2480, 3380, 4100, 4565, 5265, 5675, 6315, 7215, 8430, 9155, 10152]",5.713131244012255e+17,"[3.94013514 3.20018834 1.848576   1.34228889 1.34791667 2.46210753
 1.02408571 1.47895122 1.67278125 1.43173333 1.64600823 2.37962759
 2.45129388]",20814.15,57.898891984666214
"Østergade 30, 9800 Hjørring",0.0,78120.99060606062,8.887337975361541,8.887337975361541,8.352277383766745,"[1425, 3065, 5475, 6425, 6925, 8285, 10152]",5.7131310310353894e+17,"[8.1417614  8.60445122 8.06540249 8.23951579 8.09046    8.21761765
 8.88733798]",84792.32,0.0
"Vandmanden 5, 9200 Aalborg SV",4264.990476190476,67110.94,7.779798792756539,7.0188544600938965,11.146608550039401,"[735, 2345, 3200, 4580, 7580, 8590, 9655, 10152]",5.7131310440279424e+17,"[11.99414966 12.28378261 10.89069006 11.82804348 11.99115    11.50341584
  7.01885446  7.77979879]",113160.37,6.3551344627127495
"Søndergade 55, 8000 Aarhus C",3320.3733333333334,62255.09333333334,7.0717067003792655,6.816533333333333,8.063723404255319,"[900, 1555, 3075, 3525, 5030, 6090, 6930, 8570, 10152]",5.713131151031586e+17,"[10.29502222 10.77850382  8.39586842  6.81653333  7.93009967  7.60596226
  7.2522381   7.58041463  7.0717067 ]",81862.92,5.333496675613369
"M.P. Bruuns Gade 25, 8000 Aarhus C",0.0,121194.21383333333,13.798705287713842,13.798705287713842,16.497192671394796,"[360, 2360, 3945, 7580, 10152]",5.713131151040615e+17,[17.08772222 17.8126     16.15434069 17.77381568 13.79870529],167479.49999999997,0.0
"Nørregade 16D, 7100 Vejle",3261.6333333333328,15760.83,1.805624399615754,1.3973543307086613,3.1487608353033885,"[720, 1590, 2330, 5115, 5790, 6705, 7435, 8070, 10152]",5.7131312440001504e+17,"[3.99466667 3.92603448 4.0697027  3.83558348 3.91004444 3.88455738
 1.56226027 1.39735433 1.8056244 ]",31966.219999999998,20.694553099889617
"Nørregade 16B, 7100 Vejle",0.0,59528.236444444454,6.728326972010178,6.728326972010178,8.987751182033096,"[1550, 2860, 3270, 5280, 5765, 6705, 8580, 10152]",5.7131312440016666e+17,"[ 8.88895484  7.95847328  8.88665854 11.52822388 15.39494845  8.61285106
  7.51218667  6.72832697]",91243.65,0.0
"Nørregade 16C, 7100 Vejle",0.0,9990.95303030303,1.1430177824267782,1.1430177824267782,1.3281422379826635,"[1760, 2660, 3040, 3640, 4745, 5795, 6370, 6895, 7380, 8240, 10152]",5.713131244011192e+17,"[1.41836932 1.46553333 1.63705263 1.49888333 1.35197285 1.26449524
 1.44321739 1.25544762 1.36589691 1.14890698 1.14301778]",13483.3,0.0
"Jessensgade 6A, 8700 Horsens",2298.622857142857,20556.64,2.2680645161290323,2.093497536945813,2.284243498817967,"[1355, 2460, 3395, 4410, 6265, 8600, 9780, 10152]",5.713131245014168e+17,"[2.43108487 2.61295928 2.11424599 2.09349754 2.09453369 2.26278373
 2.45237288 2.26806452]",23189.64,11.181899654529422
"Exnersgade 18, 6700 Esbjerg",883.4009803921585,94331.77,10.810922509225094,10.687548951048951,12.421434200157606,"[1435, 4015, 6750, 9610, 10152]",5.713131344990605e+17,[13.55632056 13.11516279 13.3038574  10.68754895 10.81092251],126102.40000000001,0.9364829901868252
"Østergade 4, 6400 Sønderborg",3153.7907142857143,41406.3,4.720106100795757,4.349037974683545,6.18306245074862,"[990, 1415, 2410, 3815, 4615, 6575, 7920, 8590, 9775, 10152]",5.7131314450079725e+17,"[6.89471717 7.09075294 7.09964824 6.07443416 6.7924625  6.80812245
 6.17387361 4.95155224 4.34903797 4.7201061 ]",62770.45,7.616692904909915
"Ørbækvej 75, 5220 Odense SØ",0.0,45572.688571428575,5.234430693069307,5.234430693069307,5.082079577245881,"[2005, 3217]",5.7131315439067014e+17,[4.98998504 5.23443069],16349.05,0.0
"Østerbrogade 70, 2100 København Ø",9794.278,69315.61,7.732287822878228,6.754624203821656,7.622912726556343,"[2500, 3065, 3850, 4615, 5165, 5730, 6255, 7095, 7795, 9610, 10152]",5.71313161104428e+17,"[8.018408   6.7580354  6.7546242  7.30435294 8.31945455 8.84976991
 7.13868571 7.34603571 6.86097143 7.79361433 7.73228782]",77387.81,14.1299744747251
"Kalvebod Brygge 59, 1560 København V",4148.32166666667,172467.1866666667,19.652170841361592,19.307041666666667,21.222726556343577,"[1535, 5280, 6720, 7410, 8595, 10152]",5.7131316115032877e+17,[24.5387557  21.47295594 19.30704167 19.70995652 21.40883544 19.65217084],215453.12,2.4052816926180136
"Arne Jacobsens Allé 12, 2300 København S",0.0,94107.40444444444,10.724900449582531,10.724900449582531,15.47915780141844,"[370, 2830, 7865, 8595, 10152]",5.713131611600289e+17,[16.25940541 17.07969919 16.36227805 13.73921918 10.72490045],157144.41,0.0
"Helgesensgade 23, 2100 København Ø",9470.237523809525,10189.088000000002,1.168542413381123,0.08169162995594713,0.6164410953506698,"[1135, 2035, 4480, 5955, 6630, 7630, 8095, 8595, 9315, 10152]",5.7131316117022336e+17,"[0.08169163 0.18867778 0.12575051 0.58416271 1.05376296 1.1639
 1.26608602 1.21844    1.07676389 1.16854241]",6258.11,92.9448987368597
"Lyngby Hovedgade 60, 2800 Kongens Lyngby",17084.022222222222,102550.18222222223,11.628153266331658,9.638065217391304,11.456180063041765,"[455, 1750, 2225, 2895, 3815, 5740, 7365, 8560, 10152]",5.713131741133067e+17,"[12.95501099 13.78680309 13.92690526  9.72455224  9.63806522 11.41112727
  9.68103385 12.00571548 11.62815327]",116303.14,16.659182706474198
"Philip Heymans Alle 17, 2900 Hellerup",269.2066666666672,53607.33999999999,6.145342991052407,6.042833333333334,6.21780535855004,"[400, 1385, 4115, 4935, 6425, 7805, 10152]",5.713131741156446e+17,"[6.39335    6.752      6.05215018 6.28003659 6.363      6.04283333
 6.14534299]",63123.16,0.5021824747630963
"Kordilgade 18, 4400 Kalundborg",8192.132,48700.340000000004,5.3327611940298505,4.636928571428571,5.793858353033885,"[1745, 2635, 4135, 5730, 6125, 6810, 7470, 8310, 9010, 9750, 10152]",5.713131742002165e+17,"[7.15203438 7.17275281 5.06294667 6.0799185  5.1181519  5.5710073
 4.81254545 4.63692857 5.01632857 5.53918919 5.33276119]",58819.25,16.821508843675424
"Ahlgade 50, 4300 Holbæk",9798.099999999999,44877.3,4.965827439886846,4.062489795918367,4.799716312056738,"[860, 2240, 3155, 3645, 4275, 4745, 8520, 9445, 10152]",5.713131742005307e+17,"[5.33455814 4.75117391 4.25862295 4.0624898  4.66542857 5.73229787
 4.8535947  4.57141622 4.96582744]",48726.72,21.833087106399
"Falkoner Alle 21, 2000 Frederiksberg",0.0,71114.42,8.0303324099723,8.0303324099723,11.749740937746257,"[695, 1595, 2690, 6925, 9430, 10152]",5.7131317510064435e+17,[13.16217266 13.1393     13.32173516 13.12170012  8.92402794  8.03033241],119283.37,0.0
"Algade 12, 4000 Roskilde",5630.522181818182,73797.984,8.588529769137303,7.7344,9.726988546603476,"[1015, 6270, 8145, 9305, 10128]",5.713131752000021e+17,[10.28374384 10.83824929  7.7344      8.23412069  8.58852977],98514.94,7.629642270198306
"Nytorv 9D, 4200 Slagelse",22732.98857142857,54965.04,6.140408719346048,3.653261410788382,6.8981727738376675,"[1735, 4675, 5220, 5755, 6265, 6930, 8135, 8620, 9320, 9785, 10152]",5.7131317561024506e+17,"[9.02660519 7.32577551 7.23038532 8.05237383 6.11323529 5.1477594
 3.65326141 8.13212371 5.37658571 7.91036559 6.14040872]",70030.25,41.35899577518468
"Nytorv 9K, 4200 Slagelse",22248.135,48846.98,5.540435967302452,3.008079365079365,4.45087962962963,"[1260, 2615, 3250, 4105, 5290, 8195, 8625, 9785, 10152]",5.7131317560047514e+17,"[3.00807937 3.17194096 4.50340157 5.08304094 6.21866667 3.68327022
 7.72737209 5.57446552 5.54043597]",45185.33,45.546592645031474
"Cityringen 4, 2630 Taastrup",4439.491904761904,57563.00333333334,6.576771217712177,6.065226781857452,6.399598108747045,"[1050, 3365, 5460, 6870, 8600, 9610, 10152]",5.7131317910095456e+17,"[6.41488571 6.06522678 6.43887351 6.37131206 6.8280289  6.27920792
 6.57677122]",64968.72,7.712404926222989
"Reberbanegade 3, 2300 København S",5402.323333333334,38853.31666666667,4.480204081632653,3.6473506493506496,4.394067178881009,"[760, 1715, 3490, 5610, 6910, 8105, 8600, 8985, 9515, 10152]",5.7131317910249056e+17,"[4.33751316 4.50245026 4.25716056 4.41578302 4.47359231 4.4836569
 4.65292929 3.64735065 4.45158491 4.48020408]",44608.57000000001,13.904407131265927
"Næstved Storcenter 3, 4700 Næstved",0.0,50398.83333333334,5.767058823529411,5.767058823529411,5.926792750197005,"[925, 2320, 5395, 9030, 10152]",5.7131318110166195e+17,[5.8671027  6.29392832 5.80087154 5.95691334 5.76705882],60168.799999999996,0.0
"Nytorv 9B, 4200 Slagelse",182.40733333333338,4543.023333333333,0.514779299847793,0.4753972602739726,0.5421887312844761,"[1530, 2260, 2895, 4060, 4950, 5565, 6360, 8335, 9495, 10152]",5.713131860001237e+17,"[0.5968366  0.47539726 0.47699213 0.4815279  0.56175281 0.66947967
 0.5907044  0.54940253 0.49625    0.5147793 ]",5504.300000000001,4.015108881236946
